Deck Name,Total Price,Card Name,Card Quantity,Card Price
Hammer Time,1041.08,Lurrus of the Dream-Den,1,6.92
Hammer Time,1041.08,Memnite,4,18.04
Hammer Time,1041.08,Ornithopter,4,1.48
Hammer Time,1041.08,Esper Sentinel,4,92.96
Hammer Time,1041.08,Gingerbrute,1,0.29
Hammer Time,1041.08,Kor Outfitter,2,0.66
Hammer Time,1041.08,Puresteel Paladin,4,31.8
Hammer Time,1041.08,Stoneforge Mystic,4,186.4
Hammer Time,1041.08,Colossus Hammer,4,7.64
Hammer Time,1041.08,Shadowspear,1,19.71
Hammer Time,1041.08,Springleaf Drum,4,9.0
Hammer Time,1041.08,Cranial Plating,1,0.54
Hammer Time,1041.08,Sigarda's Aid,4,32.0
Hammer Time,1041.08,Concealed Courtyard,1,2.57
Hammer Time,1041.08,Flooded Strand,1,40.32
Hammer Time,1041.08,Godless Shrine,1,13.37
Hammer Time,1041.08,Inkmoth Nexus,3,134.94
Hammer Time,1041.08,Marsh Flats,2,38.02
Hammer Time,1041.08,Plains,5,0.0
Hammer Time,1041.08,Silent Clearing,4,52.64
Hammer Time,1041.08,Urza's Saga,4,177.56
Hammer Time,1041.08,Windswept Heath,2,59.46
Hammer Time,1041.08,Path to Exile,2,8.94
Hammer Time,1041.08,Pithing Needle,1,1.0
Hammer Time,1041.08,Thoughtseize,4,59.88
Hammer Time,1041.08,Sanctifier en-Vec,3,4.74
Hammer Time,1041.08,Seal of Cleansing,2,0.5
Hammer Time,1041.08,Torpor Orb,2,39.7
Grixis Death's Shadow,1221.55,Lurrus of the Dream-Den,1,6.92
Grixis Death's Shadow,1221.55,Death's Shadow,4,23.0
Grixis Death's Shadow,1221.55,Dragon's Rage Channeler,4,10.6
Grixis Death's Shadow,1221.55,"Ragavan, Nimble Pilferer",4,345.28
Grixis Death's Shadow,1221.55,"Kroxa, Titan of Death's Hunger",2,46.0
Grixis Death's Shadow,1221.55,Fatal Push,1,2.45
Grixis Death's Shadow,1221.55,Inquisition of Kozilek,2,6.2
Grixis Death's Shadow,1221.55,Lightning Bolt,1,2.01
Grixis Death's Shadow,1221.55,Thoughtseize,4,59.88
Grixis Death's Shadow,1221.55,Unholy Heat,4,2.0
Grixis Death's Shadow,1221.55,Drown in the Loch,4,8.0
Grixis Death's Shadow,1221.55,Expressive Iteration,4,25.84
Grixis Death's Shadow,1221.55,Kolaghan's Command,1,10.75
Grixis Death's Shadow,1221.55,Mishra's Bauble,4,44.52
Grixis Death's Shadow,1221.55,Dress Down,2,5.32
Grixis Death's Shadow,1221.55,Blood Crypt,3,50.64
Grixis Death's Shadow,1221.55,Bloodstained Mire,4,159.96
Grixis Death's Shadow,1221.55,Mountain,1,0.0
Grixis Death's Shadow,1221.55,Polluted Delta,4,195.8
Grixis Death's Shadow,1221.55,Scalding Tarn,3,99.33
Grixis Death's Shadow,1221.55,Steam Vents,1,15.27
Grixis Death's Shadow,1221.55,Swamp,1,0.0
Grixis Death's Shadow,1221.55,Watery Grave,2,25.98
Grixis Death's Shadow,1221.55,Engineered Explosives,1,18.99
Grixis Death's Shadow,1221.55,Alpine Moon,2,16.0
Grixis Death's Shadow,1221.55,Nihil Spellbomb,1,0.52
Grixis Death's Shadow,1221.55,Pyrite Spellbomb,1,0.25
Grixis Death's Shadow,1221.55,Spell Pierce,2,0.7
Grixis Death's Shadow,1221.55,Dress Down,1,2.66
Grixis Death's Shadow,1221.55,Terminate,2,1.88
Grixis Death's Shadow,1221.55,"Tourach, Dread Cantor",2,13.3
Grixis Death's Shadow,1221.55,Kolaghan's Command,2,21.5
4c Blink,1977.86,"Yorion, Sky Nomad",1,2.75
4c Blink,1977.86,Ice-Fang Coatl,3,12.0
4c Blink,1977.86,Endurance,1,36.47
4c Blink,1977.86,Eternal Witness,2,7.0
4c Blink,1977.86,"Omnath, Locus of Creation",4,45.72
4c Blink,1977.86,Fury,2,44.0
4c Blink,1977.86,Solitude,4,220.0
4c Blink,1977.86,Wrenn and Six,4,411.96
4c Blink,1977.86,"Teferi, Time Raveler",4,75.6
4c Blink,1977.86,Ephemerate,3,3.9
4c Blink,1977.86,Lightning Bolt,2,4.02
4c Blink,1977.86,Prismatic Ending,4,14.84
4c Blink,1977.86,Counterspell,2,3.02
4c Blink,1977.86,Eladamri's Call,3,20.97
4c Blink,1977.86,Expressive Iteration,4,25.84
4c Blink,1977.86,Force of Negation,2,149.28
4c Blink,1977.86,Abundant Growth,4,2.84
4c Blink,1977.86,Spreading Seas,3,15.69
4c Blink,1977.86,Breeding Pool,1,21.93
4c Blink,1977.86,Flooded Strand,4,161.28
4c Blink,1977.86,Hallowed Fountain,1,8.95
4c Blink,1977.86,Ketria Triome,1,11.99
4c Blink,1977.86,Misty Rainforest,4,120.0
4c Blink,1977.86,Raugrin Triome,1,12.58
4c Blink,1977.86,Sacred Foundry,1,19.94
4c Blink,1977.86,Snow-Covered Forest,2,2.0
4c Blink,1977.86,Snow-Covered Island,2,2.5
4c Blink,1977.86,Snow-Covered Plains,1,0.38
4c Blink,1977.86,Steam Vents,1,15.27
4c Blink,1977.86,Stomping Ground,1,10.38
4c Blink,1977.86,Temple Garden,1,10.8
4c Blink,1977.86,Windswept Heath,4,118.92
4c Blink,1977.86,Wooded Foothills,4,156.2
4c Blink,1977.86,Flusterstorm,2,54.1
4c Blink,1977.86,Veil of Summer,2,17.54
4c Blink,1977.86,Aether Gust,2,1.0
4c Blink,1977.86,Lightning Helix,2,2.12
4c Blink,1977.86,Force of Negation,1,74.64
4c Blink,1977.86,Knight of Autumn,1,0.73
4c Blink,1977.86,Force of Vigor,2,51.92
4c Blink,1977.86,Subtlety,1,6.09
4c Blink,1977.86,Obsidian Charmaw,1,0.7
Murktide Regent,1297.68,Dragon's Rage Channeler,4,10.6
Murktide Regent,1297.68,"Ragavan, Nimble Pilferer",4,345.28
Murktide Regent,1297.68,Brazen Borrower,1,12.0
Murktide Regent,1297.68,Murktide Regent,4,76.0
Murktide Regent,1297.68,Consider,4,8.0
